frame_idx,timestamp_sec,target_id,target_visible,visible_ids,num_people,castor_visible,castor_bbox,target_bbox,face_confidence,pose_confidence,gaze_to_castor_prob,gaze_label,gaze_source,body_to_castor_distance_cm,hand_to_castor_distance_px,proxemic_zone,touch_prob,touch_state,interaction_state,confidence_level
70,2.3333333333333335,1,True,"[1, 2, 3]",3,True,"(5.322428226470947, 137.9609375, 340.4380798339844, 720.0)","(867.8045654296875, 1.0616984367370605, 1274.5340576171875, 719.2108154296875)",0.0,0.8888395693567064,0.0,indeterminado,none,150.1007603413063,556.7675383239985,zona_3,0.0,sem_contato,proximidade,media
71,2.3666666666666667,1,True,"[1, 2, 3]",3,True,"(5.677632808685303, 138.531494140625, 332.69500732421875, 720.0)","(868.1162109375, 1.9922009706497192, 1274.9796142578125, 719.0821533203125)",0.8,0.8781349526511298,0.0,nao_castor,heuristic,151.00399435910597,566.2109061479568,zona_3,0.0,sem_contato,proximidade,alta
72,2.4,1,True,"[1, 2, 3]",3,True,"(5.24871826171875, 137.8549041748047, 337.7225646972656, 720.0)","(868.3383178710938, 2.542457342147827, 1274.97314453125, 718.1712036132812)",0.8,0.8636619713571336,0.0,nao_castor,heuristic,150.9450734805028,562.7054903805256,zona_3,0.0,sem_contato,proximidade,alta
73,2.433333333333333,1,True,"[1, 2, 3]",3,True,"(5.339334964752197, 138.5348358154297, 338.67279052734375, 720.0)","(868.6856689453125, 2.4247055053710938, 1275.7161865234375, 717.9664916992188)",0.8,0.847568584813012,0.0,nao_castor,heuristic,150.96764647421224,564.3674460202456,zona_3,0.0,sem_contato,proximidade,alta
74,2.466666666666667,1,True,"[1, 2, 3, 8]",4,True,"(5.044352054595947, 137.9693145751953, 348.733154296875, 720.0)","(870.8732299804688, 1.39267897605896, 1277.0809326171875, 715.184326171875)",0.8,0.8342242042223612,0.0,nao_castor,heuristic,150.81733003200318,559.0384526625276,zona_3,0.0,sem_contato,proximidade,alta
75,2.5,1,True,"[1, 2, 3, 8]",4,True,"(5.337351322174072, 137.9384002685547, 342.8456726074219, 720.0)","(872.6478271484375, 2.8858516216278076, 1279.2862548828125, 717.9112548828125)",0.8,0.827020686533716,0.0,nao_castor,heuristic,151.35875347129777,568.8673560023308,zona_3,0.0,sem_contato,proximidade,alta
76,2.533333333333333,1,True,"[1, 2, 3, 8]",4,True,"(5.352071285247803, 138.26148986816406, 340.5575256347656, 720.0)","(876.2501220703125, 1.7195377349853516, 1280.0, 716.6494140625)",0.8,0.8229464242855707,0.0,nao_castor,heuristic,151.93262899836043,576.3502738177776,zona_3,0.0,sem_contato,proximidade,alta
77,2.566666666666667,1,True,"[1, 2, 3, 8]",4,True,"(5.017832279205322, 138.153076171875, 344.1410217285156, 720.0)","(881.011474609375, 2.18296480178833, 1280.0, 716.861328125)",0.8,0.8164509584506353,0.0,nao_castor,heuristic,152.11291577809263,580.5051237270236,zona_3,0.0,sem_contato,proximidade,alta
78,2.6,1,True,"[1, 2, 3, 8]",4,True,"(4.9969482421875, 138.1785430908203, 344.1184997558594, 720.0)","(883.1968994140625, 2.3782730102539062, 1280.0, 716.9290161132812)",0.8,0.8135373277796639,0.0,nao_castor,heuristic,152.32719576999855,582.456723600626,zona_3,0.0,sem_contato,proximidade,alta
79,2.6333333333333333,1,True,"[1, 2, 3, 8]",4,True,"(5.056437015533447, 137.55824279785156, 345.3387145996094, 720.0)","(885.9125366210938, 1.767732858657837, 1280.0, 715.3823852539062)",0.8,0.8102910270293554,0.0,nao_castor,heuristic,152.64884495723766,583.340569742024,zona_3,0.0,sem_contato,proximidade,alta
80,2.6666666666666665,1,True,"[1, 2, 3, 8]",4,True,"(5.43450927734375, 137.9744415283203, 334.9782409667969, 720.0)","(889.8219604492188, 1.8208789825439453, 1280.0, 714.4813842773438)",0.8,0.8052211354176203,0.0,nao_castor,heuristic,154.02361921356362,597.6477151215076,zona_3,0.0,sem_contato,proximidade,alta
81,2.7,1,True,"[1, 2, 3, 8]",4,True,"(5.615437984466553, 138.5210723876953, 337.9773254394531, 720.0)","(890.4967651367188, 1.4943434000015259, 1280.0, 715.7987060546875)",0.8,0.8005922536055247,0.0,nao_castor,heuristic,153.45755286286496,595.5353699922562,zona_3,0.0,sem_contato,proximidade,alta
