track_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,mean_person_distance_px,mean_hand_distance_px,near_ratio,contact_ratio,mean_score,label
222,23261,23507,776.1420333333333,784.3502333333333,8.208200000000033,179.97843020049493,0.0,1.0,1.0,82.00376225405891,alta
222,23518,23538,784.7172666666667,785.3846,0.7007,182.1437293127555,0.0,1.0,1.0,81.6069991581716,alta
222,23550,23574,785.785,786.5858000000001,0.8341666666666667,200.7946235944143,0.0,1.0,1.0,82.29491242138519,alta
222,23581,23624,786.8193666666667,788.2541333333334,1.4681333333333333,169.16996508643186,0.0,1.0,1.0,83.19041623252416,alta
224,23543,23574,785.5514333333333,786.5858000000001,1.034366666666756,203.27873813430827,0.0,1.0,1.0,81.39109478439413,alta
224,23581,23624,786.8193666666667,788.2541333333334,1.4347666666666328,189.54736238883683,0.0,1.0,1.0,81.02466308095467,alta
225,23550,23574,785.785,786.5858000000001,0.8008000000000948,51.64992895929286,0.0,1.0,1.0,97.19803931248094,alta
225,23581,23624,786.8193666666667,788.2541333333334,1.4347666666666328,27.346244096620534,0.0,1.0,1.0,97.28187372364145,alta
225,23792,23837,793.8597333333333,795.3612333333333,1.5348666666666666,68.1122218458418,0.0,1.0,1.0,96.82428164492312,alta
227,23792,23812,793.8597333333333,794.5270666666667,0.7007,249.03634279597367,0.0,1.0,0.8571428571428571,77.30940790745619,alta
227,23823,24211,794.8941,807.8403666666667,12.946266666666702,156.36330112971243,0.0,1.0,0.992,84.11456944815693,alta
227,24222,24270,808.2074,809.809,1.6349666666666667,172.46021751666277,0.023135438257334183,1.0,1.0,83.59889630334362,alta
227,24272,24393,809.8757333333333,813.9131,4.070733333333333,161.3555694361727,0.03548393874871926,1.0,1.0,83.76400446309536,alta
227,24419,24445,814.7806333333333,815.6481666666667,0.9009,157.10715843252328,0.0,1.0,1.0,84.27410730405248,alta
227,24449,24521,815.7816333333334,818.1840333333333,2.435766666666667,151.27835583206408,0.4328345729880137,1.0,1.0,83.05206662688481,alta
227,24552,24569,819.2184,819.7856333333333,0.6006,178.10686943541688,61.46249220106337,1.0,0.0,38.145932323787434,baixa
227,24596,24614,820.6865333333334,821.2871333333334,0.6339666666666667,253.2716193882827,106.55516453793174,1.0,0.0,28.91884011479131,baixa
227,24623,24782,821.5874333333334,826.8927333333334,5.338666666666667,176.8332301679456,43.52823314666748,1.0,0.59375,59.5448815065655,media
227,24928,25116,831.7642666666667,838.0372,6.3063,185.57552144300783,68.69030745571884,1.0,0.4656084656084656,51.404867033817126,media
227,25140,25154,838.838,839.3051333333334,0.5005000000000001,176.83480390448705,0.0,1.0,1.0,87.20441084569826,alta
228,23792,24211,793.8597333333333,807.8403666666667,13.980633333333344,234.91859481850005,24.94849829870044,1.0,0.8135593220338984,60.53346589993285,media
228,24222,24270,808.2074,809.809,1.6349666666666667,225.18992670729685,6.528896409638074,1.0,1.0,68.59109949843294,media
228,24272,24393,809.8757333333333,813.9131,4.037366666666685,210.45139571685917,8.434641237612125,1.0,1.0,69.09995242316184,media
228,24419,24521,814.7806333333333,818.1840333333333,3.4034000000000333,184.504289653596,3.066386023233103,1.0,1.0,76.844101767418,alta
229,24345,24365,812.3115,812.9788333333333,0.6673333333333176,215.2501163403867,0.0,1.0,1.0,78.49112489737004,alta
230,24426,24444,815.0142,815.6148000000001,0.6006000000000995,219.87281186383788,0.0,1.0,1.0,77.98731922368694,alta
231,24471,24521,816.5157,818.1840333333333,1.668333333333294,196.4734182964668,0.6054222293016387,1.0,0.8292682926829268,74.32178094299167,media
